Resp_Center,Comp_Type,Comp_Catg.,Act,Comp_Desc,TimeLine,Periodicity,Department,Responsible_Person,Approving Authority,Task,Due_Dt,Target_Dt,Amount_Payable,Attachment_Mandatory,Acknowledgement_Req,Acknowledgement_Days
NO/Village,Legal,REGISTRATION U/S 12A & 80G,Income Tax Act,Step-1: Dully filled-in application will be submitted to the exemption section of the Income Tax Department.Step-2: NGO will receive notice for clarifications from Income Tax Department in 2-3 months after applying.Step-3: Reply of notice will be submitted by the consultant along with all relevant desired documents to the Income Tax Departments.Step-4: Consultant will personally visit the Income Tax Departments to follow-up the case on behalf of the applicant organization.Step-5: Exemption Certificate will be issued ,Application for registration under section 12A and 80G can be applied just after registration of the NGO.,On Need Basis,Central Office,,,,,,,,,
NO/Village,Legal,REGISTRATION U/S 12A & 80G,Income Tax Act,"Documents required for registration u/s 12A AND 80G:1. Dully filled in Form – 10A for registration u/s 12A registration;2. Dully filled in Form – 10G for registration u/s 80G registration;3. Registration Certificate and MOA /Trust Deed (two copies – self attested by NGO head);4. NOC from Landlord (where registered office is situated);5. Copy of PAN card of NGO;6. Electricity Bill / House tax Receipt /Water Bill (photocopy);7. Evidence of welfare activities carried out & Progress Report since inception or last 3 years;8. Books of Accounts, Balance Sheet & ITR (if any), since inception or last 3years;9. List of donors along with their address and PAN;10. List of governing body board of trustees members with their contact details;11. Deed for verification Original RC and MOA /Trust;12. Authority letter in favor of NGO President/Secretary;13. Any other document/ affidavit / undertaking information asked by the Income Tax department ",Within 15 days from the end of every month,Monthly ,Central Office,,,,,,,,,
NO/Village,Legal,TDS,Income Tax Act,TDS,"Income Tax Law has incorporated a system of deduction of tax at the point of generation on income. The system is called “tax deducted at source”, commonly known as TDS. Under this system tax is deducted at the origin of income. Tax is deducted by the payer and is remitted to the Government by the payer on behalf of the payee. In order to deduct TDS, a person must apply for Tax Deduction Account Number (TAN) to a National Securities Depository Limited (NSDL), the authorised agency for allotting TAN.", , ,,,,,,,,,
,Legal,TDS,Income Tax Act,Form for applying TAN,Form 49B,NA,Central Office,,,,,,,,,
,Legal,TDS,Income Tax Act,Time to obtain TAN,Maximum 15 days from the date of application,NA,NA,,,,,,,,,
,Legal,TDS,Income Tax Act,Timeliness to deduct TDS,TDS should be deducted at the time of accrual/payment of income to the payee, , ,,,,,,,,,
,Legal,TDS,Income Tax Act,Timeliness to deposit TDS,"7th of every month, For the month of March, Due Date to deposit TDS is 30th April",Monthly,Central Office,,,,,,,,,
,Legal,TDS,Income Tax Act,Timeliness to file TDS Return and to generate TDS Certificates (Form 16/Form 16A,Refer Annexure 1,Quarterly,Central Office,,,,,,,,,
,Legal,TDS,Income Tax Act,Applicable Rates of TDS and TCS,Refer Annexure 2,NA,NA,,,,,,,,,
,Legal,TDS,Income Tax Act,Late payment and non- filing/late filing consequences,Refer Annexure 3,NA,NA,,,,,,,,,
NO/Village,Legal,Books of accounts,Income Tax Act,"The NGOs generally maintain the following books of account – Receipt Book Vouchers filesJournal Voucher(in case of Accrual Accounting)Cash book/Bank bookLedger AccountsBooks of account should be maintained like any other commercial organisation following the rules of Double Entry Book Keeping System and generally accepted accounting practices prevailing in India.NGOs with reference to specific requirements may maintain the following additional booksof account:Purchase BookSales Book/Bill BookInventory RegisterOther Books as deemed necessaryEvery NGO should maintain proper books of account with respect to: all sums of monies received by the NGO and the matters in respect of which receipts take place, showing distinctly the amounts received from income generating activities and through grants and donations; all sums of money expended by the NGO and the matters in respect of which expenditure takes place; all assets and liabilities of the NGO.  The books of account of an NGO may be structured in a manner that is suited to its needs and requirements. For instance: A separate set of books and records may be maintained for foreign and Indian contributions, as per the requirements of the Foreign Contribution (Regulation) Act. Similarly, separate sets of books and records may be maintained for the various projects, branches and field offices that the NGO may have for implementing its programmes and interventions.Separate ledgers, accounts and records may also be maintained with regard to the various funds representing the grants received from various sources, including the governments and different funding agencies, received with or without stipulations and restrictions", ,Daily,Central Office,,,,,,,,,
